"#	hydrophobicity_PRAM900101.Tr1221	hydrophobicity_PRAM900101.Tr1331	hydrophobicity_PRAM900101.Tr2332	hydrophobicity_ARGP820101.Tr1221	hydrophobicity_ARGP820101.Tr1331	hydrophobicity_ARGP820101.Tr2332	hydrophobicity_ZIMJ680101.Tr1221	hydrophobicity_ZIMJ680101.Tr1331	hydrophobicity_ZIMJ680101.Tr2332	hydrophobicity_PONP930101.Tr1221	hydrophobicity_PONP930101.Tr1331	hydrophobicity_PONP930101.Tr2332	hydrophobicity_CASG920101.Tr1221	hydrophobicity_CASG920101.Tr1331	hydrophobicity_CASG920101.Tr2332	hydrophobicity_ENGD860101.Tr1221	hydrophobicity_ENGD860101.Tr1331	hydrophobicity_ENGD860101.Tr2332	hydrophobicity_FASG890101.Tr1221	hydrophobicity_FASG890101.Tr1331	hydrophobicity_FASG890101.Tr2332	normwaalsvolume.Tr1221	normwaalsvolume.Tr1331	normwaalsvolume.Tr2332	polarity.Tr1221	polarity.Tr1331	polarity.Tr2332	polarizability.Tr1221	polarizability.Tr1331	polarizability.Tr2332	charge.Tr1221	charge.Tr1331	charge.Tr2332	secondarystruct.Tr1221	secondarystruct.Tr1331	secondarystruct.Tr2332	solventaccess.Tr1221	solventaccess.Tr1331	solventaccess.Tr2332"
"sp|A4W2T1|ENO_STRS2	0.26036866359447003	0.1935483870967742	0.2465437788018433	0.2511520737327189	0.23271889400921658	0.15898617511520738	0.1912442396313364	0.2926267281105991	0.08525345622119816	0.2073732718894009	0.2834101382488479	0.17972350230414746	0.3663594470046083	0.14285714285714285	0.07373271889400922	0.27419354838709675	0.2350230414746544	0.1912442396313364	0.1543778801843318	0.29493087557603687	0.21428571428571427	0.32027649769585254	0.18663594470046083	0.14055299539170507	0.23732718894009217	0.22580645161290322	0.23271889400921658	0.3225806451612903	0.17972350230414746	0.14746543778801843	0.14746543778801843	0.029953917050691243	0.24193548387096775	0.271889400921659	0.23963133640552994	0.18433179723502305	0.3271889400921659	0.17511520737327188	0.12672811059907835"
"gi|146762537|gb|ABQ45367.1|	0.2562929061784897	0.2151029748283753	0.2242562929061785	0.2585812356979405	0.2036613272311213	0.2128146453089245	0.20594965675057209	0.30205949656750575	0.10068649885583524	0.18077803203661327	0.30434782608695654	0.16247139588100687	0.37757437070938216	0.13043478260869565	0.07551487414187644	0.2768878718535469	0.2540045766590389	0.17162471395881007	0.11670480549199085	0.32265446224256294	0.1853546910755149	0.34096109839816935	0.16247139588100687	0.13958810068649885	0.2242562929061785	0.2425629290617849	0.2379862700228833	0.3501144164759725	0.15331807780320367	0.14874141876430205	0.1853546910755149	0.020594965675057208	0.1945080091533181	0.2402745995423341	0.2540045766590389	0.16247139588100687	0.3295194508009153	0.19221967963386727	0.14187643020594964"
"sp|A8AUR6|EFG_STRGC	0.2543352601156069	0.21676300578034682	0.20664739884393063	0.28034682080924855	0.20520231213872833	0.17630057803468208	0.2153179190751445	0.2658959537572254	0.1069364161849711	0.20520231213872833	0.2947976878612717	0.14884393063583815	0.36416184971098264	0.14739884393063585	0.05202312138728324	0.25289017341040465	0.2702312138728324	0.1531791907514451	0.157514450867052	0.3106936416184971	0.20086705202312138	0.3078034682080925	0.17630057803468208	0.16329479768786126	0.1994219653179191	0.24421965317919075	0.24132947976878613	0.2861271676300578	0.16040462427745664	0.1791907514450867	0.16907514450867053	0.02745664739884393	0.23554913294797689	0.2398843930635838	0.23121387283236994	0.17341040462427745	0.31647398843930635	0.21098265895953758	0.1546242774566474"
"sp|A8AY46|ENO_STRGC	0.2632794457274827	0.19168591224018475	0.24018475750577367	0.2586605080831409	0.23556581986143188	0.15704387990762125	0.18937644341801385	0.3094688221709007	0.07390300230946882	0.21016166281755197	0.2863741339491917	0.18244803695150116	0.3648960739030023	0.13625866050808313	0.07621247113163972	0.279445727482679	0.23556581986143188	0.18706697459584296	0.14549653579676675	0.2956120092378753	0.20554272517321015	0.3163972286374134	0.19630484988452657	0.13625866050808313	0.24018475750577367	0.22863741339491916	0.23094688221709006	0.3233256351039261	0.18937644341801385	0.14318706697459585	0.15011547344110854	0.03233256351039261	0.23556581986143188	0.2678983833718245	0.23094688221709006	0.19399538106235567	0.3163972286374134	0.17782909930715934	0.13856812933025403"
"sp|A9M296|DNAK_NEIM0	0.2714508580343214	0.1981279251170047	0.1996879875195008	0.31201248049922	0.2059282371294852	0.13416536661466458	0.20904836193447737	0.26833073322932915	0.0686427457098284	0.27769110764430577	0.2698907956318253	0.1310452418096724	0.3666146645865835	0.1372854914196568	0.0530421216848674	0.2792511700468019	0.23400936037441497	0.16380655226209048	0.1294851794071763	0.3463338533541342	0.15756630265210608	0.35569422776911075	0.1684867394695788	0.1435257410296412	0.18876755070202808	0.2121684867394696	0.2667706708268331	0.3619344773790952	0.15288611544461778	0.15912636505460218	0.1606864274570983	0.0530421216848674	0.23712948517940718	0.21996879875195008	0.2823712948517941	0.12636505460218408	0.36973478939157567	0.1731669266770671	0.0998439937597504"
"gi|384199907|ref|YP_005585650.1|	0.26218097447795824	0.18097447795823665	0.21577726218097448	0.2459396751740139	0.24129930394431554	0.18097447795823665	0.16241299303944315	0.3109048723897912	0.09744779582366589	0.22041763341067286	0.2737819025522042	0.16473317865429235	0.4013921113689095	0.10208816705336426	0.06960556844547564	0.27842227378190254	0.22505800464037123	0.15777262180974477	0.14849187935034802	0.29466357308584684	0.2088167053364269	0.3062645011600928	0.1716937354988399	0.14849187935034802	0.21809744779582366	0.22041763341067286	0.23665893271461716	0.3062645011600928	0.15777262180974477	0.16241299303944315	0.15777262180974477	0.02088167053364269	0.22041763341067286	0.23897911832946636	0.28074245939675174	0.16009280742459397	0.30162412993039445	0.2088167053364269	0.14153132250580047"
"sp|B7J1R2|ENO_BORBZ	0.24768518518518517	0.19907407407407407	0.22916666666666666	0.24768518518518517	0.23842592592592593	0.18287037037037038	0.22916666666666666	0.2986111111111111	0.10416666666666667	0.19907407407407407	0.30324074074074076	0.16203703703703703	0.35648148148148145	0.14583333333333334	0.09490740740740741	0.2662037037037037	0.22685185185185186	0.18287037037037038	0.1527777777777778	0.31712962962962965	0.18518518518518517	0.2708333333333333	0.20601851851851852	0.1412037037037037	0.22685185185185186	0.23842592592592593	0.22685185185185186	0.2777777777777778	0.18981481481481483	0.1574074074074074	0.17824074074074073	0.023148148148148147	0.20833333333333334	0.2847222222222222	0.21064814814814814	0.17824074074074073	0.3125	0.2013888888888889	0.13425925925925927"
"UPI0000129DC6	0.21717171717171718	0.21464646464646464	0.22727272727272727	0.3207070707070707	0.17676767676767677	0.15656565656565657	0.2702020202020202	0.22727272727272727	0.10101010101010101	0.19696969696969696	0.3106060606060606	0.1414141414141414	0.351010101010101	0.15151515151515152	0.06565656565656566	0.2196969696969697	0.2828282828282828	0.15404040404040403	0.15656565656565657	0.29545454545454547	0.20707070707070707	0.2702020202020202	0.1994949494949495	0.16666666666666666	0.20959595959595959	0.24242424242424243	0.2196969696969697	0.255050505050505	0.16414141414141414	0.20202020202020202	0.18181818181818182	0.030303030303030304	0.21464646464646464	0.25252525252525254	0.21717171717171718	0.18686868686868688	0.30303030303030304	0.23232323232323232	0.12878787878787878"
"tr|B9VJ59|B9VJ59_9MONO	0.1686746987951807	0.1549053356282272	0.3080895008605852	0.23924268502581755	0.26506024096385544	0.16179001721170397	0.17555938037865748	0.31841652323580033	0.10154905335628227	0.1721170395869191	0.3493975903614458	0.11703958691910499	0.33390705679862304	0.1738382099827883	0.08777969018932874	0.2082616179001721	0.23924268502581755	0.2099827882960413	0.17555938037865748	0.22719449225473323	0.28055077452667815	0.29604130808950085	0.16695352839931152	0.14457831325301204	0.2908777969018933	0.17555938037865748	0.15834767641996558	0.3046471600688468	0.12736660929432014	0.18416523235800344	0.10499139414802065	0.008605851979345954	0.10154905335628227	0.24096385542168675	0.20481927710843373	0.21858864027538727	0.1927710843373494	0.32358003442340794	0.13080895008605853"
"gi|494112847|ref|WP_007053626.1|	0.24109014675052412	0.20335429769392033	0.24947589098532494	0.2557651991614256	0.25157232704402516	0.1740041928721174	0.18658280922431866	0.33752620545073375	0.0880503144654088	0.1970649895178197	0.31446540880503143	0.15513626834381553	0.389937106918239	0.1509433962264151	0.07756813417190776	0.21593291404612158	0.2830188679245283	0.16142557651991615	0.1320754716981132	0.33752620545073375	0.20335429769392033	0.2809224318658281	0.18867924528301888	0.16142557651991615	0.22431865828092243	0.24528301886792453	0.19916142557651992	0.27253668763102723	0.15932914046121593	0.19077568134171907	0.14675052410901468	0.025157232704402517	0.2389937106918239	0.22851153039832284	0.25157232704402516	0.18867924528301888	0.27882599580712786	0.2222222222222222	0.16561844863731656"
"UPI00000E30A5	0.2668213457076566	0.19489559164733178	0.22505800464037123	0.2529002320185615	0.23897911832946636	0.16009280742459397	0.18329466357308585	0.3039443155452436	0.08120649651972157	0.2111368909512761	0.2877030162412993	0.16937354988399073	0.3665893271461717	0.15081206496519722	0.07192575406032482	0.2853828306264501	0.2273781902552204	0.17865429234338748	0.14385150812064965	0.31322505800464034	0.20417633410672853	0.3062645011600928	0.19953596287703015	0.1345707656612529	0.2273781902552204	0.2296983758700696	0.23665893271461716	0.31554524361948955	0.1902552204176334	0.14385150812064965	0.15777262180974477	0.030162412993039442	0.24361948955916474	0.25986078886310904	0.23201856148491878	0.1902552204176334	0.3271461716937355	0.17865429234338748	0.1345707656612529"
