"#	hydrophobicity_PRAM900101.G1	hydrophobicity_PRAM900101.G2	hydrophobicity_PRAM900101.G3	hydrophobicity_ARGP820101.G1	hydrophobicity_ARGP820101.G2	hydrophobicity_ARGP820101.G3	hydrophobicity_ZIMJ680101.G1	hydrophobicity_ZIMJ680101.G2	hydrophobicity_ZIMJ680101.G3	hydrophobicity_PONP930101.G1	hydrophobicity_PONP930101.G2	hydrophobicity_PONP930101.G3	hydrophobicity_CASG920101.G1	hydrophobicity_CASG920101.G2	hydrophobicity_CASG920101.G3	hydrophobicity_ENGD860101.G1	hydrophobicity_ENGD860101.G2	hydrophobicity_ENGD860101.G3	hydrophobicity_FASG890101.G1	hydrophobicity_FASG890101.G2	hydrophobicity_FASG890101.G3	normwaalsvolume.G1	normwaalsvolume.G2	normwaalsvolume.G3	polarity.G1	polarity.G2	polarity.G3	polarizability.G1	polarizability.G2	polarizability.G3	charge.G1	charge.G2	charge.G3	secondarystruct.G1	secondarystruct.G2	secondarystruct.G3	solventaccess.G1	solventaccess.G2	solventaccess.G3"
"sp|Q14676|MDC1_HUMAN	0.344183820009574	0.4523695548109143	0.2034466251795118	0.46864528482527523	0.2977501196744854	0.23360459550023938	0.6122546673049306	0.15797032072762088	0.2297750119674485	0.5825753949258018	0.20966969842029679	0.20775490665390142	0.7070368597415031	0.23743417903303016	0.055528961225466744	0.48300622307324076	0.3173767352800383	0.1996170416467209	0.4226902824317855	0.2843465773097176	0.2929631402584969	0.49018669219722355	0.340832934418382	0.16898037338439442	0.2077549066539014	0.43178554332216373	0.36045955002393487	0.3623743417903303	0.46864528482527523	0.16898037338439453	0.12015318334131163	0.7333652465294399	0.14648157012924845	0.43705122067975105	0.22833891814265198	0.33460986117759706	0.31689803733843946	0.344183820009574	0.33891814265198655"
"sp|Q14442|PIGH_HUMAN	0.2393617021276596	0.3670212765957447	0.3936170212765957	0.35638297872340424	0.2978723404255319	0.3457446808510638	0.46808510638297873	0.19148936170212766	0.3404255319148936	0.3882978723404255	0.1702127659574468	0.4414893617021276	0.48404255319148937	0.3351063829787234	0.18085106382978722	0.3404255319148936	0.2712765957446808	0.3882978723404255	0.32978723404255317	0.15425531914893617	0.5159574468085106	0.3882978723404255	0.3882978723404255	0.22340425531914893	0.44148936170212766	0.30319148936170215	0.25531914893617025	0.30319148936170215	0.4734042553191489	0.22340425531914893	0.09042553191489362	0.8138297872340425	0.0957446808510638	0.42021276595744683	0.34574468085106386	0.2340425531914893	0.4734042553191489	0.2393617021276596	0.2872340425531915"
"sp|Q13336|UT1_HUMAN	0.17480719794344474	0.39331619537275064	0.4318766066838047	0.3341902313624679	0.2879177377892031	0.37789203084832906	0.4652956298200514	0.18766066838046272	0.34704370179948585	0.3496143958868895	0.18766066838046272	0.46272493573264784	0.4498714652956298	0.38817480719794345	0.16195372750642673	0.2750642673521851	0.32390745501285345	0.4010282776349615	0.2133676092544987	0.2365038560411311	0.5501285347043702	0.41131105398457585	0.36246786632390743	0.22622107969151667	0.46272493573264784	0.35475578406169667	0.1825192802056555	0.32390745501285345	0.4498714652956298	0.22622107969151672	0.05398457583547558	0.8920308483290489	0.05398457583547556	0.390745501285347	0.3161953727506427	0.2930591259640103	0.5398457583547558	0.17480719794344474	0.2853470437017995"
"sp|P62995|TRA2B_HUMAN	0.3888888888888889	0.5	0.11111111111111116	0.4479166666666667	0.3680555555555556	0.18402777777777768	0.7152777777777778	0.10416666666666667	0.18055555555555552	0.4201388888888889	0.3888888888888889	0.19097222222222227	0.7361111111111112	0.21180555555555555	0.05208333333333329	0.5416666666666666	0.3506944444444444	0.10763888888888895	0.5486111111111112	0.1875	0.26388888888888884	0.4618055555555556	0.1423611111111111	0.3958333333333333	0.1909722222222222	0.3888888888888889	0.4201388888888889	0.4131944444444444	0.1909722222222222	0.39583333333333337	0.2465277777777778	0.6493055555555556	0.10416666666666663	0.40625	0.1909722222222222	0.4027777777777778	0.2326388888888889	0.3888888888888889	0.37847222222222227"
"sp|Q13325|IFIT5_HUMAN	0.3755186721991701	0.3381742738589212	0.2863070539419087	0.36929460580912865	0.3360995850622407	0.29460580912863066	0.5103734439834025	0.2053941908713693	0.28423236514522826	0.45435684647302904	0.2053941908713693	0.3402489626556017	0.5373443983402489	0.34854771784232363	0.11410788381742742	0.487551867219917	0.23651452282157676	0.2759336099585062	0.3941908713692946	0.14315352697095435	0.4626556016597511	0.31742738589211617	0.38381742738589214	0.2987551867219917	0.34024896265560167	0.24896265560165975	0.4107883817427386	0.27800829875518673	0.42323651452282157	0.2987551867219917	0.14522821576763487	0.7074688796680498	0.14730290456431527	0.5414937759336099	0.24688796680497926	0.2116182572614108	0.3983402489626556	0.3755186721991701	0.22614107883817436"
"sp|Q04323|UBXN1_HUMAN	0.43097643097643096	0.3602693602693603	0.2087542087542087	0.4377104377104377	0.3434343434343434	0.21885521885521886	0.6599326599326599	0.12457912457912458	0.2154882154882155	0.4713804713804714	0.30976430976430974	0.2188552188552188	0.6734006734006734	0.2828282828282828	0.04377104377104374	0.5252525252525253	0.26936026936026936	0.20538720538720534	0.48484848484848486	0.18855218855218855	0.32659932659932656	0.3838383838383838	0.3939393939393939	0.2222222222222222	0.21885521885521886	0.3400673400673401	0.44107744107744107	0.30303030303030304	0.47474747474747475	0.22222222222222227	0.16161616161616163	0.6430976430976431	0.19528619528619529	0.6195286195286195	0.12794612794612795	0.2525252525252526	0.36363636363636365	0.43097643097643096	0.2053872053872054"
"sp|Q9Y6R1|S4A4_HUMAN	0.2919369786839666	0.3540315106580167	0.3540315106580167	0.3623725671918443	0.3049119555143652	0.33271547729379053	0.4782205746061168	0.20111214087117701	0.3206672845227062	0.4355885078776645	0.18535681186283595	0.3790546802594996	0.5338276181649676	0.3113994439295644	0.15477293790546798	0.3985171455050973	0.2594995366079703	0.34198331788693237	0.33642261353104724	0.1974050046339203	0.4661723818350324	0.3827618164967563	0.35032437442076	0.2669138090824837	0.3790546802594995	0.303985171455051	0.3169601482854495	0.3113994439295644	0.42168674698795183	0.26691380908248374	0.11492122335495829	0.7618164967562558	0.12326227988878591	0.42446709916589437	0.2928637627432808	0.2826691380908249	0.4439295644114921	0.2919369786839666	0.26413345690454126"
"sp|Q5JS13|RGPS1_HUMAN	0.29443447037701975	0.40933572710951527	0.296229802513465	0.4021543985637343	0.3087971274685817	0.28904847396768396	0.5314183123877917	0.19210053859964094	0.2764811490125674	0.48114901256732495	0.18850987432675045	0.3303411131059245	0.5870736086175943	0.3123877917414722	0.10053859964093353	0.4111310592459605	0.3052064631956912	0.2836624775583483	0.39138240574506283	0.19569120287253142	0.41292639138240583	0.4111310592459605	0.3375224416517056	0.2513464991023339	0.3303411131059246	0.3518850987432675	0.31777378815080787	0.3375224416517056	0.4111310592459605	0.251346499102334	0.12567324955116696	0.7737881508078994	0.10053859964093359	0.42908438061041293	0.2459605026929982	0.32495511669658883	0.37881508078994613	0.29443447037701975	0.32675044883303406"
"sp|O00341|EAA5_HUMAN	0.22142857142857142	0.37857142857142856	0.4	0.3410714285714286	0.33214285714285713	0.3267857142857143	0.4785714285714286	0.2	0.32142857142857134	0.36428571428571427	0.21607142857142858	0.4196428571428571	0.4732142857142857	0.37142857142857144	0.15535714285714286	0.3125	0.29285714285714287	0.39464285714285713	0.25535714285714284	0.21785714285714286	0.5267857142857143	0.3982142857142857	0.4017857142857143	0.20000000000000007	0.41964285714285715	0.34285714285714286	0.23749999999999993	0.32321428571428573	0.4767857142857143	0.2	0.07678571428571429	0.8410714285714286	0.08214285714285718	0.4142857142857143	0.33214285714285713	0.2535714285714285	0.5232142857142857	0.22142857142857142	0.25535714285714284"
"sp|P14866|HNRPL_HUMAN	0.31239388794567063	0.45161290322580644	0.23599320882852287	0.4244482173174873	0.3157894736842105	0.2597623089983022	0.5568760611205433	0.1867572156196944	0.2563667232597623	0.4363327674023769	0.2801358234295416	0.2835314091680815	0.6179966044142614	0.2937181663837012	0.08828522920203741	0.47368421052631576	0.2937181663837012	0.2325976230899831	0.3293718166383701	0.28862478777589134	0.38200339558573854	0.4431239388794567	0.30560271646859083	0.2512733446519524	0.2835314091680815	0.3735144312393888	0.3429541595925297	0.34125636672325976	0.4074702886247878	0.25127334465195245	0.11035653650254669	0.7877758913412564	0.1018675721561969	0.3870967741935484	0.22920203735144312	0.3837011884550085	0.400679117147708	0.31239388794567063	0.2869269949066214"
