"#	hydrophobicity_PRAM900101.G1	hydrophobicity_PRAM900101.G2	hydrophobicity_PRAM900101.G3	hydrophobicity_ARGP820101.G1	hydrophobicity_ARGP820101.G2	hydrophobicity_ARGP820101.G3	hydrophobicity_ZIMJ680101.G1	hydrophobicity_ZIMJ680101.G2	hydrophobicity_ZIMJ680101.G3	hydrophobicity_PONP930101.G1	hydrophobicity_PONP930101.G2	hydrophobicity_PONP930101.G3	hydrophobicity_CASG920101.G1	hydrophobicity_CASG920101.G2	hydrophobicity_CASG920101.G3	hydrophobicity_ENGD860101.G1	hydrophobicity_ENGD860101.G2	hydrophobicity_ENGD860101.G3	hydrophobicity_FASG890101.G1	hydrophobicity_FASG890101.G2	hydrophobicity_FASG890101.G3	normwaalsvolume.G1	normwaalsvolume.G2	normwaalsvolume.G3	polarity.G1	polarity.G2	polarity.G3	polarizability.G1	polarizability.G2	polarizability.G3	charge.G1	charge.G2	charge.G3	secondarystruct.G1	secondarystruct.G2	secondarystruct.G3	solventaccess.G1	solventaccess.G2	solventaccess.G3"
"sp|A4W2T1|ENO_STRS2	0.3195402298850575	0.3954022988505747	0.2850574712643678	0.43448275862068964	0.3103448275862069	0.25517241379310346	0.593103448275862	0.15862068965517243	0.24827586206896554	0.4091954022988506	0.26666666666666666	0.3241379310344827	0.5586206896551724	0.3195402298850575	0.1218390804597701	0.3931034482758621	0.32873563218390806	0.27816091954022987	0.3218390804597701	0.2367816091954023	0.4413793103448275	0.4160919540229885	0.3724137931034483	0.21149425287356322	0.32413793103448274	0.3471264367816092	0.32873563218390806	0.38850574712643676	0.4	0.21149425287356316	0.09885057471264368	0.7471264367816092	0.15402298850574714	0.41839080459770117	0.2942528735632184	0.28735632183908044	0.4781609195402299	0.3195402298850575	0.20229885057471264"
"gi|146762537|gb|ABQ45367.1|	0.3264840182648402	0.3972602739726027	0.2762557077625571	0.4018264840182648	0.3447488584474886	0.2534246575342466	0.5616438356164384	0.1963470319634703	0.2420091324200913	0.4452054794520548	0.24429223744292236	0.3105022831050228	0.5547945205479452	0.3401826484018265	0.1050228310502283	0.4132420091324201	0.3219178082191781	0.26484018264840187	0.3515981735159817	0.20319634703196346	0.4452054794520549	0.4200913242009132	0.3698630136986301	0.21004566210045666	0.3105022831050228	0.3470319634703196	0.34246575342465757	0.3767123287671233	0.4132420091324201	0.21004566210045666	0.11643835616438356	0.7511415525114156	0.13242009132420085	0.4474885844748858	0.2625570776255708	0.2899543378995434	0.4657534246575342	0.3264840182648402	0.2077625570776256"
"sp|A8AUR6|EFG_STRGC	0.3362193362193362	0.36796536796536794	0.29581529581529586	0.4213564213564214	0.3333333333333333	0.2453102453102453	0.5656565656565656	0.19480519480519481	0.23953823953823955	0.4401154401154401	0.23665223665223664	0.3232323232323232	0.5685425685425686	0.3189033189033189	0.11255411255411252	0.42424242424242425	0.2857142857142857	0.29004329004329	0.35209235209235207	0.21645021645021645	0.43145743145743154	0.3823953823953824	0.3852813852813853	0.23232323232323232	0.32323232323232326	0.3203463203463203	0.35642135642135636	0.34054834054834054	0.42712842712842713	0.23232323232323238	0.10678210678210678	0.733044733044733	0.1601731601731602	0.4531024531024531	0.29148629148629146	0.2554112554112554	0.42857142857142855	0.3362193362193362	0.2352092352092352"
"sp|A8AY46|ENO_STRGC	0.32027649769585254	0.4009216589861751	0.27880184331797236	0.4308755760368664	0.3087557603686636	0.2603686635944701	0.5875576036866359	0.15668202764976957	0.25576036866359453	0.41244239631336405	0.26497695852534564	0.32258064516129026	0.5599078341013825	0.315668202764977	0.12442396313364057	0.4009216589861751	0.3248847926267281	0.27419354838709686	0.3271889400921659	0.23271889400921658	0.4400921658986175	0.4216589861751152	0.3640552995391705	0.2142857142857143	0.3225806451612903	0.347926267281106	0.32949308755760376	0.38940092165898615	0.39631336405529954	0.21428571428571425	0.10138248847926268	0.7465437788018433	0.15207373271889402	0.41705069124423966	0.29723502304147464	0.2857142857142857	0.47235023041474655	0.32027649769585254	0.2073732718894009"
"sp|A9M296|DNAK_NEIM0	0.37850467289719625	0.3629283489096573	0.25856697819314645	0.43613707165109034	0.35046728971962615	0.21339563862928346	0.602803738317757	0.1853582554517134	0.2118380062305296	0.4750778816199377	0.2523364485981308	0.2725856697819315	0.5887850467289719	0.308411214953271	0.10280373831775708	0.42834890965732086	0.3146417445482866	0.25700934579439255	0.3925233644859813	0.19626168224299065	0.41121495327102797	0.4252336448598131	0.38161993769470404	0.1931464174454829	0.27258566978193144	0.3411214953271028	0.3862928348909658	0.3940809968847352	0.4127725856697819	0.1931464174454829	0.12461059190031153	0.7040498442367601	0.17133956386292837	0.49221183800623053	0.2336448598130841	0.2741433021806853	0.4485981308411215	0.37850467289719625	0.1728971962616822"
"gi|384199907|ref|YP_005585650.1|	0.31712962962962965	0.4236111111111111	0.25925925925925924	0.4305555555555556	0.30787037037037035	0.26157407407407407	0.5925925925925926	0.1527777777777778	0.25462962962962965	0.4212962962962963	0.2662037037037037	0.3125	0.5625	0.34953703703703703	0.08796296296296297	0.41435185185185186	0.3333333333333333	0.2523148148148148	0.32175925925925924	0.24074074074074073	0.4375	0.4305555555555556	0.3611111111111111	0.20833333333333331	0.3125	0.3611111111111111	0.3263888888888889	0.3912037037037037	0.40046296296296297	0.20833333333333331	0.09722222222222222	0.7569444444444444	0.14583333333333337	0.4398148148148148	0.2523148148148148	0.3078703703703703	0.4537037037037037	0.31712962962962965	0.22916666666666663"
"sp|B7J1R2|ENO_BORBZ	0.3187066974595843	0.39260969976905313	0.2886836027713626	0.4133949191685912	0.3187066974595843	0.2678983833718244	0.5519630484988453	0.19168591224018475	0.25635103926097	0.4457274826789838	0.22632794457274827	0.3279445727482678	0.558891454965358	0.3094688221709007	0.13163972286374132	0.3995381062355658	0.3233256351039261	0.27713625866050806	0.3348729792147806	0.22401847575057737	0.441108545034642	0.3972286374133949	0.371824480369515	0.23094688221709014	0.3279445727482679	0.3418013856812933	0.33025404157043875	0.3625866050808314	0.4064665127020785	0.2309468822170901	0.11547344110854503	0.74364896073903	0.14087759815242495	0.44341801385681295	0.29330254041570436	0.26327944572748274	0.44803695150115475	0.3187066974595843	0.23325635103926096"
"UPI0000129DC6	0.30982367758186397	0.3702770780856423	0.3198992443324938	0.4005037783375315	0.3602015113350126	0.23929471032745592	0.5314861460957179	0.23173803526448364	0.2367758186397985	0.40554156171284633	0.2518891687657431	0.34256926952141054	0.5591939546599496	0.3198992443324937	0.12090680100755669	0.40554156171284633	0.2770780856423174	0.3173803526448362	0.3123425692695214	0.24685138539042822	0.44080604534005036	0.40302267002518893	0.3702770780856423	0.2267002518891688	0.3425692695214106	0.3224181360201511	0.33501259445843823	0.34005037783375314	0.4332493702770781	0.22670025188916876	0.11083123425692695	0.7405541561712846	0.1486146095717884	0.4105793450881612	0.3198992443324937	0.2695214105793451	0.45843828715365237	0.30982367758186397	0.23173803526448372"
"tr|B9VJ59|B9VJ59_9MONO	0.23711340206185566	0.4261168384879725	0.3367697594501718	0.42955326460481097	0.24570446735395188	0.32474226804123707	0.5309278350515464	0.1563573883161512	0.3127147766323024	0.4536082474226804	0.16323024054982818	0.3831615120274915	0.5532646048109966	0.29553264604810997	0.15120274914089343	0.3556701030927835	0.31958762886597936	0.32474226804123707	0.2663230240549828	0.2869415807560137	0.4467353951890035	0.4261168384879725	0.37628865979381443	0.19759450171821302	0.38316151202749144	0.36769759450171824	0.24914089347079038	0.33676975945017185	0.46563573883161513	0.19759450171821302	0.06357388316151202	0.8780068728522337	0.05841924398625431	0.31443298969072164	0.36082474226804123	0.3247422680412371	0.43127147766323026	0.23711340206185566	0.3316151202749141"
"gi|494112847|ref|WP_007053626.1|	0.3179916317991632	0.39539748953974896	0.2866108786610879	0.39539748953974896	0.303347280334728	0.301255230125523	0.5355648535564853	0.17154811715481172	0.29288702928870297	0.45397489539748953	0.22594142259414227	0.3200836820083681	0.5564853556485355	0.3200836820083682	0.1234309623430963	0.4497907949790795	0.2719665271966527	0.2782426778242678	0.3493723849372385	0.20711297071129708	0.44351464435146437	0.41841004184100417	0.33472803347280333	0.2468619246861925	0.3200836820083682	0.3305439330543933	0.3493723849372386	0.3472803347280335	0.40585774058577406	0.2468619246861924	0.09414225941422594	0.7468619246861925	0.15899581589958156	0.42677824267782427	0.2615062761506276	0.3117154811715481	0.4205020920502092	0.3179916317991632	0.26150627615062766"
