"#	hydrophobicity_PRAM900101.Tr1221	hydrophobicity_PRAM900101.Tr1331	hydrophobicity_PRAM900101.Tr2332	hydrophobicity_ARGP820101.Tr1221	hydrophobicity_ARGP820101.Tr1331	hydrophobicity_ARGP820101.Tr2332	hydrophobicity_ZIMJ680101.Tr1221	hydrophobicity_ZIMJ680101.Tr1331	hydrophobicity_ZIMJ680101.Tr2332	hydrophobicity_PONP930101.Tr1221	hydrophobicity_PONP930101.Tr1331	hydrophobicity_PONP930101.Tr2332	hydrophobicity_CASG920101.Tr1221	hydrophobicity_CASG920101.Tr1331	hydrophobicity_CASG920101.Tr2332	hydrophobicity_ENGD860101.Tr1221	hydrophobicity_ENGD860101.Tr1331	hydrophobicity_ENGD860101.Tr2332	hydrophobicity_FASG890101.Tr1221	hydrophobicity_FASG890101.Tr1331	hydrophobicity_FASG890101.Tr2332	normwaalsvolume.Tr1221	normwaalsvolume.Tr1331	normwaalsvolume.Tr2332	polarity.Tr1221	polarity.Tr1331	polarity.Tr2332	polarizability.Tr1221	polarizability.Tr1331	polarizability.Tr2332	charge.Tr1221	charge.Tr1331	charge.Tr2332	secondarystruct.Tr1221	secondarystruct.Tr1331	secondarystruct.Tr2332	solventaccess.Tr1221	solventaccess.Tr1331	solventaccess.Tr2332"
"sp|Q14676|MDC1_HUMAN	0.30986590038314177	0.12978927203065135	0.18007662835249041	0.29454022988505746	0.21551724137931033	0.1360153256704981	0.17049808429118773	0.26484674329501917	0.0828544061302682	0.22988505747126436	0.2361111111111111	0.07854406130268199	0.32471264367816094	0.06944444444444445	0.03017241379310345	0.31561302681992337	0.19588122605363983	0.1082375478927203	0.24904214559386972	0.22509578544061304	0.16906130268199235	0.3261494252873563	0.17049808429118773	0.12021072796934866	0.1700191570881226	0.1446360153256705	0.31226053639846746	0.3045977011494253	0.1336206896551724	0.15708812260536398	0.17768199233716475	0.034961685823754786	0.21024904214559387	0.1700191570881226	0.3113026819923372	0.18773946360153257	0.2092911877394636	0.20833333333333334	0.2303639846743295"
"sp|Q14442|PIGH_HUMAN	0.12834224598930483	0.18181818181818182	0.28342245989304815	0.22994652406417113	0.24064171122994651	0.22459893048128343	0.1925133689839572	0.3315508021390374	0.13368983957219252	0.11229946524064172	0.32085561497326204	0.15508021390374332	0.31016042780748665	0.1657754010695187	0.12299465240641712	0.1443850267379679	0.24598930481283424	0.22994652406417113	0.11229946524064172	0.3048128342245989	0.1711229946524064	0.2887700534759358	0.1657754010695187	0.20320855614973263	0.2727272727272727	0.20320855614973263	0.12834224598930483	0.28342245989304815	0.13368983957219252	0.23529411764705882	0.1443850267379679	0.026737967914438502	0.1443850267379679	0.25668449197860965	0.20855614973262032	0.1497326203208556	0.1925133689839572	0.25668449197860965	0.11764705882352941"
"sp|Q13336|UT1_HUMAN	0.11855670103092783	0.12371134020618557	0.4020618556701031	0.19845360824742267	0.24484536082474226	0.18041237113402062	0.20103092783505155	0.30412371134020616	0.11082474226804123	0.1056701030927835	0.3170103092783505	0.20876288659793815	0.3479381443298969	0.15206185567010308	0.11082474226804123	0.15721649484536082	0.21391752577319587	0.2860824742268041	0.09020618556701031	0.2036082474226804	0.2963917525773196	0.32216494845360827	0.2036082474226804	0.14432989690721648	0.38402061855670105	0.14175257731958762	0.11597938144329897	0.30412371134020616	0.15979381443298968	0.18814432989690721	0.07989690721649484	0.01288659793814433	0.07989690721649484	0.21649484536082475	0.23195876288659795	0.20103092783505155	0.15206185567010308	0.3402061855670103	0.09020618556701031"
"sp|P62995|TRA2B_HUMAN	0.41114982578397213	0.0627177700348432	0.11498257839721254	0.4076655052264808	0.20557491289198607	0.0975609756097561	0.14982578397212543	0.25435540069686413	0.041811846689895474	0.37282229965156793	0.156794425087108	0.10801393728222997	0.30313588850174217	0.059233449477351915	0.03832752613240418	0.45993031358885017	0.09407665505226481	0.07665505226480836	0.12195121951219512	0.24738675958188153	0.11498257839721254	0.13588850174216027	0.4634146341463415	0.08710801393728224	0.14634146341463414	0.11846689895470383	0.3832752613240418	0.17073170731707318	0.4425087108013937	0.10801393728222997	0.3240418118466899	0.059233449477351915	0.1289198606271777	0.09407665505226481	0.40418118466898956	0.1602787456445993	0.14982578397212543	0.13588850174216027	0.3240418118466899"
"sp|Q13325|IFIT5_HUMAN	0.24740124740124741	0.24740124740124741	0.20582120582120583	0.22245322245322247	0.24324324324324326	0.23284823284823286	0.19750519750519752	0.3305613305613306	0.12474012474012475	0.18503118503118504	0.3264033264033264	0.17255717255717257	0.367983367983368	0.13097713097713098	0.08316008316008316	0.21621621621621623	0.2993762993762994	0.13721413721413722	0.11850311850311851	0.3804573804573805	0.11850311850311851	0.27234927234927236	0.17671517671517672	0.2203742203742204	0.18295218295218296	0.316008316008316	0.1995841995841996	0.25363825363825365	0.16216216216216217	0.23492723492723494	0.20374220374220375	0.037422037422037424	0.21621621621621623	0.25571725571725573	0.19542619542619544	0.10395010395010396	0.34511434511434513	0.1600831600831601	0.1496881496881497"
"sp|Q04323|UBXN1_HUMAN	0.23986486486486486	0.15878378378378377	0.18243243243243243	0.25675675675675674	0.21283783783783783	0.125	0.16554054054054054	0.27702702702702703	0.060810810810810814	0.2702702702702703	0.20608108108108109	0.14189189189189189	0.33783783783783783	0.06418918918918919	0.02364864864864865	0.22297297297297297	0.20945945945945946	0.13175675675675674	0.16554054054054054	0.2905405405405405	0.11148648648648649	0.28040540540540543	0.14864864864864866	0.19256756756756757	0.17229729729729729	0.17567567567567569	0.22297297297297297	0.28040540540540543	0.12162162162162163	0.2195945945945946	0.17229729729729729	0.08445945945945946	0.22635135135135134	0.14864864864864866	0.2195945945945946	0.08783783783783784	0.2635135135135135	0.16891891891891891	0.13513513513513514"
"sp|Q9Y6R1|S4A4_HUMAN	0.18460111317254174	0.17161410018552875	0.24025974025974026	0.21614100185528756	0.212430426716141	0.2012987012987013	0.18923933209647495	0.2820037105751391	0.12987012987012986	0.15398886827458255	0.2949907235621521	0.1280148423005566	0.313543599257885	0.1391465677179963	0.11781076066790352	0.1836734693877551	0.2300556586270872	0.17810760667903525	0.11873840445269017	0.2727272727272727	0.17996289424860853	0.2680890538033395	0.17068645640074212	0.19573283858998144	0.22727272727272727	0.19573283858998144	0.16233766233766234	0.2606679035250464	0.14007421150278293	0.22634508348794063	0.1345083487940631	0.038033395176252316	0.17161410018552875	0.24304267161410018	0.22170686456400743	0.16419294990723562	0.20871985157699444	0.22634508348794063	0.14749536178107606"
"sp|Q5JS13|RGPS1_HUMAN	0.21762589928057555	0.17266187050359713	0.24640287769784172	0.23381294964028776	0.24640287769784172	0.18884892086330934	0.19964028776978418	0.31654676258992803	0.10431654676258993	0.19244604316546762	0.32014388489208634	0.11690647482014388	0.3597122302158273	0.11690647482014388	0.06294964028776978	0.20503597122302158	0.2356115107913669	0.17625899280575538	0.1366906474820144	0.3327338129496403	0.14388489208633093	0.25359712230215825	0.17086330935251798	0.1618705035971223	0.22122302158273383	0.2158273381294964	0.18884892086330934	0.27697841726618705	0.1474820143884892	0.18525179856115107	0.17805755395683454	0.023381294964028777	0.1366906474820144	0.20503597122302158	0.26618705035971224	0.1474820143884892	0.20863309352517986	0.27697841726618705	0.18165467625899281"
"sp|O00341|EAA5_HUMAN	0.15026833631484796	0.15384615384615385	0.3076923076923077	0.23613595706618962	0.2110912343470483	0.2003577817531306	0.18425760286225404	0.2808586762075134	0.12701252236135957	0.148479427549195	0.2844364937388193	0.1771019677996422	0.3416815742397138	0.1413237924865832	0.11985688729874776	0.1592128801431127	0.22719141323792486	0.23076923076923078	0.10554561717352415	0.24150268336314848	0.24150268336314848	0.31663685152057247	0.148479427549195	0.13237924865831843	0.2844364937388193	0.1771019677996422	0.148479427549195	0.2898032200357782	0.11806797853309481	0.16279069767441862	0.11627906976744186	0.012522361359570662	0.13059033989266547	0.26833631484794274	0.22361359570661896	0.1592128801431127	0.19856887298747763	0.27549194991055453	0.10554561717352415"
"sp|P14866|HNRPL_HUMAN	0.23639455782312926	0.16156462585034015	0.14625850340136054	0.24489795918367346	0.22959183673469388	0.16156462585034015	0.17687074829931973	0.27380952380952384	0.11054421768707483	0.21258503401360543	0.25170068027210885	0.12074829931972789	0.3486394557823129	0.09863945578231292	0.05102040816326531	0.26700680272108845	0.1989795918367347	0.10204081632653061	0.13435374149659865	0.24149659863945577	0.20578231292517007	0.21768707482993196	0.195578231292517	0.16666666666666666	0.17006802721088435	0.20238095238095238	0.22959183673469388	0.22789115646258504	0.15816326530612246	0.20408163265306123	0.1598639455782313	0.01020408163265306	0.16666666666666666	0.16666666666666666	0.2534013605442177	0.1564625850340136	0.23469387755102042	0.20408163265306123	0.16326530612244897"
